Host,Guest,Proton 1,Proton 2,Proton 3,Proton 4
0.000776,0,0,0,0,0
0.000776,0.0000970537,-0.000022020610270032624,-0.00007206992712340411,0.0004986886971990798,0.00029531628521893365
0.000776,0.000193437,-0.0002620485176491145,-0.00011759421294977061,-0.00005824510675771048,-0.00023235148765118278
0.000776,0.000289157,0.00006957756396051319,-0.0001380808728355502,-0.00021764158668594004,-0.00028169763109035296
0.000776,0.00038422,0.0000631376620046243,-0.00013494767189298597,0.00007346997643797957,-0.000101494599102163
0.000776,0.000478632,-0.00029051402648281113,-0.00010952862627246727,0.00011788481796122952,0.000059412641802659635
0.000776,0.000572402,-8.2049082850838e-8,-0.00016309339016380145,0.0003682633121746314,-0.00004787660151322603
0.000776,0.000665535,0.0005263829501591828,-0.00009681623872001598,0.0007770659805749446,0.00007765439561799791
0.000776,0.000758037,0.0005812832478435739,-0.000011805383626739899,0.0006466149183443912,0.00018696515801897191
0.000776,0.000849916,0.00035742543025907986,-0.0009091100635459999,0.0004791086513365513,-0.00016903585020173334
0.000776,0.000941176,0.0006481737827970999,-0.0002896981705797939,0.0005765752556095502,-0.00003951059736700523
0.000776,0.001076923,0.00033541883782344656,-0.0003312443942881651,0.0007613060054572646,0.00017937729742301383
0.000776,0.001255814,0.0006306002304819411,-0.000002907933796432449,0.0006686785222713015,0.00026092489070258466
0.000776,0.001476112,0.0007723493614772009,-0.0002698817695665134,0.0008257597974712459,0.0001749951611046928
0.000776,0.001778502,0.0005167559232642574,-0.00022608731591904508,0.0008793483908716444,0.0002529082477209536
0.000776,0.002198718,0.0008026427978014214,0.0005049659682893233,0.0013287049282677335,0.0007650193855956843
0.000776,0.002804382,-0.0001191510410668839,0.0000869352016108077,0.0008999805917958639,0.0005427953940448163
0.000776,0.003569044,-0.00022187458837122365,0.00014251384309082668,0.0010265538730677357,0.0005934212138472093
0.000776,0.004632801,-0.0005475751925598515,-0.0000073616864655519365,0.0003740909157620084,0.0001853525992493183
0.000776,0.006213802,-0.0007007002011548552,-0.0001633400817047017,-0.0005560490355540383,-0.00028084878935167625
0.000776,0.008810489,-0.00006182599066756334,0.0004774118069097513,-0.000819802430544532,-0.000007635982673335692
0.000776,0.012504331,-0.0003884129105058559,3.37508505733608e-7,-0.0026248096989335556,-0.00122873821198171
