Host,Guest,Proton 1,Proton 2,Proton 3,Proton 4
0.000776,0,0,0,0,0
0.000776,0.0000970537,-0.0039220206102700324,-0.0005720699271234041,0.0011986886971990798,0.0004953162852189336
0.000776,0.000193437,-0.007662048517649115,-0.0011175942129497706,0.0023417548932422893,0.0009676485123488171
0.000776,0.000289157,-0.011230422436039486,-0.0016380808728355502,0.00343235841331406,0.001418302368909647
0.000776,0.00038422,-0.014636862337995375,-0.002134947671892986,0.00447346997643798,0.001848505400897837
0.000776,0.000478632,-0.017890514026482812,-0.0026095286262724673,0.005467884817961229,0.0022594126418026598
0.000776,0.000572402,-0.021000082049082852,-0.0030630933901638012,0.006418263312174631,0.002652123398486774
0.000776,0.000665535,-0.023973617049840818,-0.003496816238720016,0.007327065980574945,0.003027654395617998
0.000776,0.000758037,-0.026818716752156427,-0.00391180538362674,0.008196614918344391,0.003386965158018972
0.000776,0.000849916,-0.02954257456974092,-0.004309110063546,0.009029108651336552,0.0037309641497982665
0.000776,0.000941176,-0.0321518262172029,-0.004689698170579794,0.00982657525560955,0.004060489402632995
0.000776,0.001076923,-0.035864581162176556,-0.005231244394288165,0.010961306005457265,0.0045293772974230135
0.000776,0.001255814,-0.04046939976951806,-0.005902907933796432,0.012368678522271302,0.005110924890702585
0.000776,0.001476112,-0.0457276506385228,-0.006669881769566514,0.013975759797471246,0.005774995161104693
0.000776,0.001778502,-0.05228324407673574,-0.007626087315919045,0.015979348390871645,0.006602908247720953
0.000776,0.002198718,-0.06029735720219858,-0.008795034031710676,0.018428704928267734,0.0076150193855956845
0.000776,0.002804382,-0.07001915104106689,-0.010213064798389192,0.021399980591795865,0.008842795394044816
0.000776,0.003569044,-0.07992187458837122,-0.011657486156909173,0.024426553873067736,0.010093421213847209
0.000776,0.004632801,-0.09054757519255985,-0.013207361686465552,0.02767409091576201,0.011435352599249318
0.000776,0.006213802,-0.10190070020115485,-0.014863340081704701,0.03114395096444596,0.012869151210648324
0.000776,0.008810489,-0.11396182599066756,-0.01662258819309025,0.03483019756945547,0.014392364017326664
0.000776,0.012504331,-0.12408841291050586,-0.018099662491494268,0.03792519030106645,0.01567126178801829
